cohortId,atlasId,atlasName,name,description,cite,isNew,hyperlink
1,538,3-point MACE,outcome/3pt_MACE,"Condition record of acute myocardial infarction, hemorrhagic or ischemic stroke or sudden cardiac death during an inpatient or ER visit",[@Ammann2018-kh;@Floyd2016-ch;@Rubbo2015-rh;@Singh2018-jg;@Wahl2010-ii;@Normand1995-ag;@Andrade2012-sp;@Park2016-wa;@Gon2017-rp;@Sung2016-xi;@Tu2013-qv;@Yuan2017-wm;@Hennessy2010-gn],no,{[}\protect\hyperlink{ref-Ammann2018-kh}{49}--\protect\hyperlink{ref-Hennessy2010-gn}{61}{]}
2,539,4-point MACE,outcome/4pt_MACE,3-Point MACE $+$ inpatient or ER visit (hospitalization) with heart failure condition record,[@Ryan2018-ci;@Ammann2018-kh;@Floyd2016-ch;@Rubbo2015-rh;@Singh2018-jg;@Wahl2010-ii;@Normand1995-ag;@Andrade2012-sp;@Park2016-wa;@Gon2017-rp;@Sung2016-xi;@Tu2013-qv;@Yuan2017-wm;@Hennessy2010-gn;@Kaspar2018-ol;@Feder2018-nj;@Rosenman2014-vv;@Voors2017-rd;@Floyd2016-fi;@Gini2016-gf],no,"{[}\protect\hyperlink{ref-Ryan2018-ci}{44},\protect\hyperlink{ref-Ammann2018-kh}{49}--\protect\hyperlink{ref-Gini2016-gf}{67}{]}"
3,540,Acute myocardial infarction,outcome/Acute_myocardial_infarction,Condition record of acute myocardial infarction during an inpatient or ER vist,[@Ammann2018-kh;@Floyd2016-ch;@Rubbo2015-rh;@Singh2018-jg;@Wahl2010-ii;@Normand1995-ag],no,{[}\protect\hyperlink{ref-Ammann2018-kh}{49}--\protect\hyperlink{ref-Normand1995-ag}{54}{]}
4,541,Stroke,outcome/Stroke,Condition record of hemorrhagic or ischemic stroke during an inpatient or ER visit,[@Andrade2012-sp;@Park2016-wa;@Gon2017-rp;@Sung2016-xi;@Tu2013-qv;@Yuan2017-wm],no,{[}\protect\hyperlink{ref-Andrade2012-sp}{55}--\protect\hyperlink{ref-Yuan2017-wm}{60}{]}
5,542,Hospitalization with heart failure,outcome/Hospitalization_with_heart_failure,Inpatient or ER visit with heart failure condition record,[@Ryan2018-ci;@Kaspar2018-ol;@Feder2018-nj;@Rosenman2014-vv;@Voors2017-rd;@Floyd2016-fi;@Gini2016-gf],no,"{[}\protect\hyperlink{ref-Ryan2018-ci}{44},\protect\hyperlink{ref-Kaspar2018-ol}{62}--\protect\hyperlink{ref-Gini2016-gf}{67}{]}"
6,543,Sudden cardiac death,outcome/Sudden_cardiac_death,Condition record of sudden cardiac death during an inpatient or ER visit,[@Singh2018-jg;@Hennessy2010-gn],no,"{[}\protect\hyperlink{ref-Singh2018-jg}{52},\protect\hyperlink{ref-Hennessy2010-gn}{61}{]}"
7,544,Transient ischemic attack,outcome/Transient_ischemic_attack,Transient ischemic attack condition record during an inpatient or ER visit; successive records with > 30 day gap are considered independent episodes,[@Andrade2012-sp; @Yuan2017-wm],no,
8,545,Hemorrhagic stroke,outcome/Hemorrhagic_stroke,"Intracranial, cerebral or subarachnoid hemorrhage condition record during an inpatient or ER visit; successive records with > 180 day gap are considered independent episodes",[@Andrade2012-sp; @Park2016-wa; @Gon2017-rp; @Sung2016-xi; @Tu2013-qv],no,
9,546,Ischemic stroke,outcome/Ischemic_stroke,Ischemic stroke condition record during an inpatient or ER visit; successive records with > 180 day gap are considered independent episodes,[@Yuan2017-wm; @Andrade2012-sp; @Floyd2016-ch; @Singh2018-jg; @Wahl2010-ii],no,
10,547,Revascularization,outcome/Revascularization,Procedure record of percutaneous coronary intervention or coronary artery bypass grafting during an inpatient or ER visit,[@You_undated-fz],no,{[}\protect\hyperlink{ref-You_undated-fz}{45}{]}
11,548,All-cause mortality,outcome/All-cause_mortality,Death record of any type,[@Singh2018-jg;@Ooba2013;@Robinson2015],no,"{[}\protect\hyperlink{ref-Singh2018-jg}{52},\protect\hyperlink{ref-Ooba2013}{83},\protect\hyperlink{ref-Robinson2015}{84}{]}"
12,549,Abdominal pain,outcome/Abdominal_pain,Abdominal pain condition record of any type; successive records with > 90 day gap are considered independent episodes,[@Goldstein2003; @Rao2018; @Saps2013],no,
13,550,Abnormal weight gain,outcome/Abnormal_weight_gain,"Abnormal weight gain record of any type; successive records with > 90 day gap are considered independent episodes; note, weight measurements not used",[@Broder2016-qq],no,{[}\protect\hyperlink{ref-Broder2016-qq}{77}{]}
14,551,Abnormal weight loss,outcome/Abnormal_weight_loss,"Abnormal weight loss record of any type; successive records with > 90 day gap are considered independent episodes; note, weight measurements not used",[@Williams2017-zb],no,{[}\protect\hyperlink{ref-Williams2017-zb}{78}{]}
15,552,Acute pancreatitis,outcome/Acute_pancreatitis,Condition record of acute pancreatitis during an inpatient or ER visit,[@Yabe2015-da;@Dore2013-km;@Dore2011-gx;@Chen2017-bb],no,{[}\protect\hyperlink{ref-Yabe2015-da}{79}--\protect\hyperlink{ref-Chen2017-bb}{82}{]}
16,553,Acute renal failure,outcome/Acute_renal_failure,Condition record of acute renal failure during an inpatient or ER visit,[@Weinstein2020-ic;@Afzal2013-uz;@Lenihan2013-id;@Winkelmayer2005-jh;@Grams2014-zx;@Arnold2018-rq;@Sutherland2015-ya;@Waikar2006-uq;@Rhee2015-mm],no,"{[}\protect\hyperlink{ref-Weinstein2020-ic}{47},\protect\hyperlink{ref-Afzal2013-uz}{68}--\protect\hyperlink{ref-Rhee2015-mm}{75}{]}"
17,554,Anaphylactoid reaction,outcome/Anaphylactoid_reaction,Anaphylactoid reaction condition record during an inpatient or ER visit; successive records with >7 day gap are considered independent episodes,[@Schneider2012; @Walsh2013],no,
18,555,Anemia,outcome/Anemia,The first condition record of anemia ,[@Han2008; @Michalik2017; @Tuck2017],no,
19,556,Angioedema,outcome/Angioedema,Angioedema condition record during an inpatient or ER visit; successive records with >7 day gap are considered independent episodes,[@Schneider2012a;@Cherepanov2015],no,
20,557,Angle-closure glaucoma,outcome/Angle_closure_glaucoma,The first condition record of angle-closure glaucoma,[@Yoo2023-og; @Apolo2022-og],yes,
21,558,Anxiety,outcome/Anxiety,"The  first condition record of anxiety, which is followed by another anxiety condition record or a drug used to treat anxiety",[@Bushnell2019;@John2016;@Marrie2016;@Castro2015],no,
22,559,Bone fracture,outcome/Bone_fracture,Bone fracture condition record of any type; successive records with > 90 day gap are considered independent episodes,,yes,
23,560,Bradycardia,outcome/Bradycardia,"The first condition record of bradycardia, which is followed by another bradycardia condition record ",[@Shin2013;@Turgeon2015],no,
24,561,Breast Cancer,outcome/Breast_cancer,Primary malignant neoplasm of breast condition record of any type; limited to female and earliest event per person,[@abrahae2018-bmjopen],yes,
25,562,Cardiac arrhythmia,outcome/Cardiac_arrhythmia,"The first condition record of cardiac arrhythmia, which is followed by another cardiac arrhythmia condition record, at least two drug records for a drug used to treat arrhythmias, or a procedure to treat arrhythmias ",[@Hennessy2010-gn;@Tamariz2012a;@Gage2001;@Jensen2012;@Karnik2012],no,
